,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,others,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
281,That would be awesome to have a @amyjones_03 byline in the @DispatchAlerts ...,BrianHedger,,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1
282,Can y’all pls ground all Boeing 737 Max’s? I’m really not trying to die in a plane crash @AmericanAir,CarlsCisneros,,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
283,@British_Airways I have just seen the new television advert and cannot believe the reality gap with how you are selling yourselves and the reality you offer.,stoneback,,0,0,0,0,0,0,0,1,0,0,0,1,0,1,0
284,You look like you could be JR's brother,BruddaJokka,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
285,“All of a sudden?”,JoshJane,🤦🏾‍♀️,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
286,@Delta Just got off the DCA-LAX flight. The cree on that flight was fantastic. That is because of flights like that that I keep traveling with Delta!,lisabmtl,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
287,@British_Airways I can’t check in online as it says your system is down. Is there a number I can call?,JadePower59,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1
288,hey! don't use deltas name in vain.,blazejaded,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
289,What is the point of purchasing an airline ticket @AmericanAir and reserving a seat with extra leg room?? They will just change your seat when you check in. I should’ve flown @SouthwestAir and saved some money. The next two hours of my life is going to suck!!pic.twitter.com/oHeHuvBt2H,tabsonraven,,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
290,Wheels down in Dallas for #ATEC2019 thanks @AmericanAir for the safe and on time trip from Indianapolis. Great pilots and cabin crew! pic.twitter.com/9hZH0TOcYv,GamesKenneth,,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0
291,"@AmericanAir Yo, American - do you want my money or not? Your site has been down for the past 15 minutes and I'm trying to get some vitamin SEA!",CourtneyOsgood,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
292,"Yeah but faster, right?",lisacrispin,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
293,Was also told no other options on other airlines...maybe I’ll fly @Delta next timepic.twitter.com/eICXeCxRbl,realericwaniger,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
294,"After flying nearly 2M miles, I try hard to book Delta. They aren't perfect, but they're better than the rest. In markets where there is competition, they match the best fares, too.",MemphiSeagrove,,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
295,Flight#122 pnr code xbsmvd additionally that same day our luggage was delayed about 5hrs on the same day,ssgcoolguy33,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
296,hahahah pretty much. Good thing @Delta's got your back!! https://twitter.com/jen_flowers/status/1103038556077989888 …,THELindaRey,,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
297,"Oh, how many cease and desist letters to travel startups and other travel businesses did @SouthwestAir send?:) Would be a who's who of online travel, and it continues today.",denschaal,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
298,Designed by @FATIIIAviation ! Got my first log on the very first day of 2019! (On an #A350 though... ) pic.twitter.com/g822hOevDY,kevinjia1122,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
299,@British_Airways just had a nightmare checking in I was told that I could change my seats when I checked in I am going on 3 flights I am unable to change my seats as I had to check in first leg to get to 2 nd ##,lynda_baynes,,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0
300,Hey @AmericanAir how about some free drinks for the 2 hour delay of flight 395 out of ORD for a broken plane?,erdoc38,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
301,"You just told me same day flight change, benefit of Platinum Pro, has to be same routing. So I select same itinerary but now you want to charge me 7500 more miles? Ridiculous.",JrFlyers79,,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0
302,Luv @SouthwestAir. What a great thread! #Alistpreferredhttps://twitter.com/SouthwestAir/status/1101325580367216640 …,TexasEric716,,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0
303,Absolutely unacceptable “First Class” experience on @AmericanAir Rude FC flight attendant who I had to prod to get a drink. She said “This is gonna be a rough boarding. We oversold and there’s too many bags”. How is that my problem!? I clearly paid too much for this “experience”,BDcocktails,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
304,@SouthwestAir this is the final straw. 6AM flight (2115) from TPA to BNA cancelled an hour b4 with agents telling lie that plane has mechanical. 5 minutes later BWI flight moves to our gate using the same plane that liar told was having mechanical issue. Clearly r flt not full,tfishman22,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
305,@delta owes you free airfare for life. Maybe you can sue?,doc_next,,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0
306,@Delta was just treated very rudely at the gate desk in Atlanta by “Dan” flight 999. Very disappointing.,heathbryant,,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0
307,Is it your Live Chat is working? I wait for 1 hour there still waiting the agent assist.. I need help!!!,JuneResources,,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0
308,What a lovely site to see @SouthwestAir pic.twitter.com/pYXyVloMDP,jasonepappas,,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0
309,why do none of your planes work @AmericanAir,humancasino,,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0
310,Where's the flights from Chi to Phoenix??? It's always flights to where no one wants to go that's on sale,C7sound,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0
311,"https://itunes.apple.com/us/podcast/s2e4-making-sure-environment-is-safe-for-all-our-team/id1122166992?i=1000431225003&mt=2 … Personal injury and AC damage are great things to focus on, no doubt. But why are toxic uniforms still being issued? @AmericanAir",NanniMil,,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0
312,Weak. Like @Delta pic.twitter.com/X7d2eKwVaM,MontyG77,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
313,@SouthwestAir so let me get this right - you charge people for early checkin $30 - then when you check in one still gets b / c group so not guaranteed - then you want to charge at gate additional charge of $30 for an “upgrade” since there are seats? #fail,KEOSART,,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0
314,There's a t-shirt for that,efeatherston,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
