,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral,others,comments
420,@Delta been sitting on the tarmac in Kona for almost 4 hours! Need help getting home!!!!,tiffdow,,,1,,,,,,,,1,,,1,,,
421,Don’t worry TB12 will retire in 5 years .... now THAT is something to ponder,banodad,,,,,,,,,,,,,,,,1,random
422,Seems to be a lot of this opinion on social media tonight. @AmericanAir is your customer service this bad every night? https://twitter.com/SirChantsAlot/status/1094128663929458688 …,a_asucks,,,,,,1,,,,,1,,,1,,,
423,@SouthwestAir my friend who doesn't have a twitter is having a hard time getting resolution to her problem. She spent 30 minutes on hold without any resolve! Is this how you treat ppl?,Workitdiva,,,,,,1,,,,,1,,,1,,,
424,Apols but not sure that answers my question... If I arrive in London as planned but find out my baggage did not make my connecting flight in HKG and is due to arrive in LHR the following day.. will British Airways send my baggage to my address in Dublin?,HanLuciaLittle,,1,,,,,,,1,,,,,,1,,
425,@DFWAirport @AmericanAir how bout we figure out how to put flight 1229 into a gate???,allenhooser,,,1,,,,,,,,1,,,1,,,
426,"Maybe u should include reimbursement to your upset clients as your service has gone down! My bag was delayed 3 days & I was told lie after lie, @the end I was told I wouldn’t get money back for extra luggage fee I paid! I wore my daily contact lens for 3 days & missed medication",DrNoona_83,,1,,,,,,,,,1,,,1,,,
427,Hey @SouthwestAir -- I am trying to get my boarding pass for a flight tomorrow and get an error that I can't check in online...I got early bird so just need the boarding pass,anniem695,,,,1,,,,,1,,,,,,1,,
428,"@Delta - After a hellish flight with terrible service I arrive to LAX with my connection delayed/cancelled. Met with rude gate workers, incompetent customer service, and constant incorrect information. Currently delayed 8 hours. We’ll see if Delta can get me there at all.",FatGirlGo,,,1,,,1,1,,,,1,,,1,,,
429,That wasn’t the case. how did they expect people in group 1 to get to the front when boarding when everyone has their bags in a tight space to get through. Thanks for speaking to the staff. I highly advise against this method of dealing with a high volume of priority customers.,LordBr3ad,,,,,,,,,,,,,,,,1,to others
430,@AirAsia @AirAsiaSupport @airasiaMY can you identify the issue? pic.twitter.com/E8x6aWHrDu,lchandramohan,😁 😁 😁,,,,,,,,1,,,,,,1,1,picture
431,"Woman working t4 customer service ""on since 4:45 am"" just berated me. Said she couldn't help me with what anyone else had done. I said the service was worthless. She replied ""you're worthless""",bestunsaid,,,,,,1,,,,,1,,,1,,,
432,"My view of Vegas today while connecting! @SouthwestAir nice snow cap beyond Mandalay Bay, wish I could stay here for more than an hour! pic.twitter.com/FS5Z4e0x1j",golfersil228,,,,,,,,,,,,,,,,1,random
433,"I know they will, but is there someone critiquing how these oversights/maintenance issues are happening? I'd think you could use analytics of the metrics and form a solution?",WArnold0313,,,,,,,,,1,,,,,,1,,safety
434,"@AmericanAir fucking sucks, y’all just not going to inform anyone about the flight.. I would love for you to pay for the time off im going to get forced to use at work",tineee92,,,1,,,,,,,,1,,,1,,,
435,Working on that next!,almandjoy11,,,,,,,,,,,,,,,,1,no context
436,"I am glad to report that I just arrived safely from a Boeing 737 Max 8. Everyone on board was nervous including myself. I hope @AmericanAir does something extra to reassure us. Inspection and maintenance reports available to the public maybe. IDK, something. Flight was smooth.",LucianaLamb,,,,,,,1,,,,,1,,,1,1,safety
437,Thanks @AmericanAir Problem is there are usually too much limitations to do that. But I will try. Again. https://twitter.com/AmericanAir/status/1083503863955668992 …,fattigati,,,,,,,,,,,,,,,,1,no context
438,"What was this person ""violently ill"" WITH?",IAmGregRivers,,,,,,,,,,,,,,,,1,no context
439,"And we better not use it either... It has design flaw!!! My husband the engineer and personal pilot said so a long time ago!! Heads up @SouthwestAir, @united, and @AmericanAir!!!",MoMoDee9,,,,,,,,,,,,,,,,1,safety
440,"Thank you for following up it’s nothing to do with one particular flight, I just not comfortable flying on the 737 Max 8 itself knowing there were two back to back crashes involving this particular aircraft",ashside,,,,,,,,,,1,,,1,,,1,?
441,"@British_Airways hi all, flying with you tomorrow and app/website said we must check in at airport. Need we be concerned?",pancatstro,,,,1,,,,,1,,,,,,1,,
442,"Okay, good to know, but how about now? More crew in more jump seats?pic.twitter.com/0KRodr0Gxh",inphinity,,,,,,,,,,,,,,,,1,no context
443,American air sucks terrible customer service..I’m pretty sure it’s 25 a bag though..Gotta go @SouthwestAir man!,jrprice55,,1,,,,1,,,,,1,,,1,,,
444,For the of Planes.. LIVE arrival of @British_Airways @BAretrojets BOAC #BA100 747-400 @All_TogetherUK and @stb1837 #gaygeeks #avgeeks #All_TogetherUK https:// twitter.com/BigJetTVLIVE/s tatus/1097422683816349696 …,RorkeDavid,,,,,,,,,,,,,,,,1,random
445,@SouthwestAir with your new credit card promo basically commoditizing the Companion Pass what are you going to do to entice Business Travelers to fly with you? With just free wifi? I remember when the Companion Pass was like a Golden Ticket...,TomWKite,,,,,1,,,,1,,,,,,1,,
446,@Delta best sense of humor in the air. Didn’t know I liked Mumford & Sons until today. Wait...did I just get cool? pic.twitter.com/hMoFHSJcWa,javajennifer_va,,,,,,,,,,,,,,,,1,picture
447,i have managed to add on via AA website. TQ for yr assistance,CheIta7,😊,,,,,,,,,1,,,1,,,1,no context
448,Can i change the date for the flight?,RahmanCheAli90,,,,1,,,,,1,,,,,,1,,
449,Flight From Seattle to LAX flying @Delta they are the worst!!! One flight attendant and the front desk lady are racist!!!,MZViral2,,,,,,1,1,,,,1,,,1,,,
450,"Thank you, so that’s not the Max model right? How about my return flight on the 14th WN1960 8:40pm OAK to BUR?",alexfeldman,,,,1,,,,,1,,,,,,1,,
451,"PSA: tell the @Delta flight crew that you are dairy free, egg free, or Vegan and they will give you extra Biscoff cookies! *dont do this if you aren’t DF, EF, or vegan, please let us enjoy this one without it getting ruinied. Allergy friendly desserts are HARD TO COME BY.",muscadinia,,,,,,,,,,,,,,,,1,random
452,". @AmericanAir insists the issue didn't affect safety and that it is ""working with our vendor and the FAA to immediately address this issue."" https://www.usatoday.com/story/travel/flights/2019/03/07/american-airlines-removes-planes-service-cancels-40-flights-after-aircraft-issue/3094787002/ …",usatodaytravel,,,,,,,,,,,,,,,,1,safety
453,. Meh. You don’t need a brake wheel . They just don’t want sparks from the metal on the runway spreading to the fuel tanks........ then there would be some worrying involved,Esther9982,,,,,,,,,,,,,,,,1,safety
454,I thought so too but apparently not. They sell very “restrictive” tickets now which seems like a way to take advantage of you even more. Why we usually fly @SouthwestAir. Seems to be much more fair all around. So disappointed,KendallKirkham,,,,,,,,,,,,,,,,1,competitors
455,@British_Airways Been trying to pay for a flight I have on hold and get an error message constantly. Hold price expires in one hour and no customer service available. This is ridiculous! How do I get the sale price honoured and book my flight?!,urbanparksgirl,,,,1,,1,,,1,,1,,,1,,,
456,I wonder when the “coaching staff” will actually do something useful,Sickwidit_Vinny,,,,,,,,,,,,,,,,1,no context
457,I’m on plane now people looking at me like I crazy,allanbcool,,,,,,,,,,,,,,,,1,no context
458,@DeltaNewsHub My daughter had to catch an early two hours #DeltaAirlines flight and had to leave without any breakfast. I thought #Delta would serve something to eat but Nooo. They don't serve anything. Shame on @Delta Shame on Delta CEO Ed Bastian,AamirA66,,,,,,,1,,,,1,,,1,,,
459,@Delta - you should be embarrassed and ashamed!,mactruth51,,,,,,,,,,,1,,,1,,1,no context
460,@AmericanAir if you’re going to cancel AA 3478 can you please get it over with now so we can try to rebook on something else?,Markol19,,,1,,,,,,,,1,,,1,,,
461,"Have you heard of this awesome @southwestair perk you can earn? For an entire year, every time I buy a plane ticket, my companion can join me for free - #travel #travelmore… https://www.instagram.com/p/Bs8MlRbB9wp/?utm_source=ig_twitter_share&igshid=14icqroqzfkq6 …",JBackes,🤗 ✈️,,,,1,,,,,,,1,,,1,1,advert
462,"@AmericanAir Grassroots movements make a difference. It might take time -- but my voice will reach a lot of people. Looking at all the comments on social platforms from angry & abused customers, #AmericanAirlines is clearly burning bridges left & right. #boycottamericanairlines",KEBazzy,,,,,,1,,,,,1,,,1,,,
463,The rest of the world is grounding the #737MAX8. Why aren’t you?,crump,,,,,,,,,,,,,,,,1,safety
464,Would really appreciate it if @Delta would stop dropping calls. Been on hold over three times for over 2 hours....,AmyKirby2,,,,,,1,,,,,1,,,1,,,
465,"@AirAsiaSupport Dear Air Asia,SOS! I received emails form you regarding the reschedule of flight. Please kindly advise me how to contact you for the flight change since you had close down the means of communication of Live Chat.",PetertingscSing,,,,1,,,,,1,,,,,,1,,
466,Still expecting an apology and compensation @British_Airways,CSchveninger,,,,,,,,,,,1,,,1,,,no context
467,"Hi @British_Airways we’ve booked quite a few flights with you for a show in March, tried to book one more and the fare has quadrupled in price!! Any chance we can talk to someone to get a better deal please?",teresajanedavis,,,,1,,,,,1,,,,,,1,,
468,"BA cancelled our flight last night, and have just left 31 of us in the terminal as the couldn’t find accommodation, and we’ve heard NOTHING FROM THEM!!! Yes mate PE test for me",Rtanner82,,,,1,,,,,,,1,,,1,,,
469,Thank you. Isn’t there an process/program where you’d know that 200 flights cancelled the day before would be a busy day and staff accordingly?,MarinaSbrochi,,,,1,,1,,,1,,,,,,1,,
