,text,username,emoji,t_luggages,t_flight_delays,t_flight_bookings,t_club,t_customer_service,t_in-flight,t_seatings,f_enquiry,f_compliment,f_complaint,f_info,s_positive,s_negative,s_neutral
701,"What would have been wrong with, “I want to thank every air traffic controller who has gallantly worked during this mess.”? The union executives weren’t working during the shutdown; the members of the union were. I would hazard a guess the union executives were still getting paid",USWeatherExpert,,,,,,,,,,,,,,,
702,"@British_Airways We just arrived HND airport. Thank you for the amazing service and hospitality of the crews (and even passengers) of BA007 Business clase. Instead of giving attitude, all my son received was smiles smiles smiles and lots of cuddles! Happiest 4months old is here pic.twitter.com/w72tsYJX8h",Tiger_Poppins,,,,,,1,,,,1,,,1,,
703,oh no! Sending good @Delta vibes your way.,tori_mazur,,,,,,,,,,1,,,1,,
704,See for yourself why they call it #ParadiseIsland! #FlyFargo to the #Bahamas for $639 RT on @AmericanAir http://bit.ly/2T8OtlL pic.twitter.com/AjZmCdCyuK,fargoairport,✈️ ☀️ 🏝,,,,,,,,,,,1,1,,
705,Yeah they always say “Ian” or “Mr. Foster” when I’m boarding every @SouthwestAir flight from @CVGairport #CustomerExperience,NatiGame,,,,,,,,,,,,,,,
706,. @delta is there a phone line I can call to make a serious complaint? My partner was just screamed at on the phone by a call center supervisor. I’m disgusted.,seansposito,,,,,,1,,,,,1,,,1,
707,"Definitely never flying @SouthwestAir again. Flight attendants fantastic, but I've never had so many delays and gate changes in one trip before.",TraumaJunkie17,,,1,,,,,,,,1,,,1,
708,Both my @SouthwestAir flights have been hugely delayed this weekend. #nobuenoSWA,KathrynKincaid,,,1,,,,,,,,1,,,1,
709,@Delta I sent messages with no reply. I’m on a flight from EWR and should make my connection yet you’ve moved me to tomorrow without my authority. I want my flight tonight and seat back ASAP,aschaffer,,,1,,,,,,,,1,,,1,
710,Shit airline @SouthwestAir That doesn't want to come to the bargaining table with its mechanics union is struggling to keep its planes in the air. Let's help them with their overbooking by flying on #AnyOtherAirline Fuck you Southwesthttps://www.cnbc.com/2019/02/16/southwest-airlines-declares-emergency-over-grounded-jets-demands-mechanics-show-up-or-risk-termination.html …,resist_r,,,,,,,,,,,1,,,1,
711,When your flight home gets cancelled by . @SouthwestAir and you now have to miss an important work meeting! What’s the point of being A list if this is how I am treated? #nothappy,Emily_Zamora15,,,1,,,,,,,,1,,,1,
712,"Whatever. I called both Delta and @JetBlue yesterday. Based on the two different experiences with customer service, Delta has a lot to learn. Terrible service vs excellent service. You guess who wins.",BMWs68,,,,,,1,,,,,1,,,1,
